contrast,left,right,estimand,component,tail,paired_birds,left_events,right_events,observed_unit_equal,bootstrap_ci_low,bootstrap_ci_high,phase_null_mean,phase_p_two_sided,phase_reps,bootstrap_reps,scale_m,holm_family,holm_phase_p,coverage_gate,primary_pass
post_minus_pre,post_only,pre_only,R_union,R,union,22,48,32,-0.019295558224537303,-0.05810984365236319,0.01993360924949324,4.4035347916727506e-05,0.265,999,20000,2000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_high,L,high,22,48,32,-0.026650912102242606,-0.2463535172481894,0.18279631522989453,-0.023418052936553604,0.973,999,20000,2000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_low,L,low,22,48,32,0.13611191217607663,-0.08498682332710146,0.3590539015645076,0.0239136854482204,0.262,999,20000,2000,diagnostic,,True,False
post_minus_pre,post_only,pre_only,L_union,L,union,22,48,32,0.10946100007383404,-0.12490992798104397,0.3429025701569417,0.0004956325116668022,0.396,999,20000,2000,primary_post_minus_pre_L_union_4_scales,0.792,True,False
post_minus_none,post_only,none_observed,E_high,E,high,49,81,334,-0.12012101910916576,-0.2518640901808083,0.02147022517462003,-0.014404808168026358,0.133,999,20000,2000,diagnostic,,True,False
post_minus_none,post_only,none_observed,E_low,E,low,49,81,334,0.10058525946559092,-0.023357874036968825,0.22808112195829738,-0.0039894362462689825,0.095,999,20000,2000,diagnostic,,True,False
post_minus_none,post_only,none_observed,E_union,E,union,49,81,334,-0.019535759643574863,-0.1606504765238387,0.1248912231119766,-0.01839424441429535,0.985,999,20000,2000,diagnostic,,True,False
post_minus_none,post_only,none_observed,R_high,R,high,49,81,334,-0.02297421765711688,-0.04219038900185863,-0.00404293136758532,-0.0030604307323547427,0.017,999,20000,2000,diagnostic,,True,False
post_minus_none,post_only,none_observed,R_low,R,low,49,81,334,-0.007153463835329265,-0.02096069736707155,0.005047971174708593,-0.00220255890169981,0.404,999,20000,2000,diagnostic,,True,False
post_minus_none,post_only,none_observed,R_union,R,union,49,81,334,-0.03012768149244613,-0.046198434989689126,-0.014351424405820159,-0.005262989634054552,0.002,999,20000,2000,diagnostic,,True,False
post_minus_none,post_only,none_observed,L_high,L,high,49,81,334,-0.09714680145204888,-0.22948906314561884,0.044475517491008504,-0.011344377435671618,0.23,999,20000,2000,diagnostic,,True,False
post_minus_none,post_only,none_observed,L_low,L,low,49,81,334,0.10773872330092017,-0.014576304538830133,0.23294290175264165,-0.0017868773445691751,0.077,999,20000,2000,diagnostic,,True,False
post_minus_none,post_only,none_observed,L_union,L,union,49,81,334,0.010591921848871286,-0.13013667627255457,0.15216607581141295,-0.013131254780240794,0.731,999,20000,2000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,E_high,E,high,34,46,260,-0.09548007674511365,-0.2827809290271531,0.0973911832772608,0.01698891175074092,0.182,999,20000,2000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,E_low,E,low,34,46,260,0.10981632925630702,-0.037101202838004985,0.2606580264223427,-0.028485650707589,0.06,999,20000,2000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,E_union,E,union,34,46,260,0.01433625251119338,-0.14379229794940354,0.16825989196184782,-0.011496738956848074,0.778,999,20000,2000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,R_high,R,high,34,46,260,-0.024083556979037458,-0.05488340725045529,0.0017711389016285928,-0.00267702250086708,0.106,999,20000,2000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,R_low,R,low,34,46,260,0.0017272864552379244,-0.018571940876116022,0.021045815313585722,-0.002023783677339942,0.685,999,20000,2000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,R_union,R,union,34,46,260,-0.022356270523799536,-0.05593308099294458,0.00721298342919999,-0.004700806178207021,0.218,999,20000,2000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,L_high,L,high,34,46,260,-0.07139651976607618,-0.256863002413213,0.1178255882082051,0.019665934251607994,0.288,999,20000,2000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,L_low,L,low,34,46,260,0.10808904280106907,-0.028788118282729494,0.24846929204994617,-0.026461867030249057,0.067,999,20000,2000,diagnostic,,True,False
pre_minus_none,pre_only,none_observed,L_union,L,union,34,46,260,0.03669252303499291,-0.11075083895013628,0.1782897443696062,-0.00679593277864106,0.637,999,20000,2000,diagnostic,,True,False
