segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median
WA_XGPS20152016CRO20341_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO20341_GPSdata_RS.xlsx,111,111,True,1.3129497489217101e-12,0,0,True,84.80404309759024,84.80404309759024,0.0,1,17.0
WA_XGPS20152016CRO20511_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20511_GPSdata_RS.xlsx,116,116,True,1.4053203045705231e-12,0,0,True,156.1516976817104,156.1516976817104,0.0,1,6.0
WA_XGPS20152016CRO20521_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20521_GPSdata_RS.xlsx,119,119,True,8.881784197001252e-13,1,0,True,65.41844931374635,65.41844931374635,0.0,1,22.0
WA_XGPS20152016CRO20621_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO20621_GPSdata_RS.xlsx,71,71,True,1.3878898030839082e-12,0,0,True,33.435129541545734,33.435129541545734,0.0,2,17.0
WA_XGPS20152016CRO20911_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20911_GPSdata_RS.xlsx,274,274,True,2.0605739337042905e-12,3,2,True,125.4396270058503,125.4396270058503,0.0,1,8.0
WA_XGPS20152016CRO20921_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO20921_GPSdata_RS.xlsx,116,116,True,1.4725998198628076e-12,1,0,True,95.61538441687674,95.61538441687674,0.0,1,21.0
WA_XGPS20152016CRO21131_GPSdata_RS.xlsx|0,WA_XGPS20152016CRO21131_GPSdata_RS.xlsx,147,147,True,1.450506381672767e-12,1,1,True,150.89613834996908,150.89613834996908,0.0,1,18.0
WA_XGPS20162017CRO10211_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10211_GPSdata_RS.xlsx,93,93,True,1.4243606294428446e-12,2,0,True,229.3398773786538,229.3398773786107,4.3087311496492475e-11,1,6.0
WA_XGPS20162017CRO10221_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10221_GPSdata_RS.xlsx,186,186,True,1.0200729150255938e-12,3,2,True,152.42435999733266,152.42435999733266,0.0,1,5.0
WA_XGPS20162017CRO10231_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10231_GPSdata_RS.xlsx,175,175,True,1.5631940186722204e-12,0,0,True,227.1237612354132,227.1237612353625,5.070432962384075e-11,1,12.0
WA_XGPS20162017CRO10321_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10321_GPSdata_RS.xlsx,236,236,True,1.4863665853681596e-12,2,2,True,97.39904168755128,97.39904168755129,1.4210854715202004e-14,1,5.0
WA_XGPS20162017CRO10331_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10331_GPSdata_RS.xlsx,90,90,True,1.1648459974367142e-12,1,0,True,65.20863083510562,65.20863083510562,0.0,2,16.0
WA_XGPS20162017CRO10411_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10411_GPSdata_RS.xlsx,62,62,True,8.641976023682219e-13,0,0,True,27.712996615188786,27.712996615188786,0.0,2,23.0
WA_XGPS20162017CRO10421_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10421_GPSdata_RS.xlsx,151,151,True,1.4508394485801546e-12,0,0,True,252.99178384434435,252.99178384434435,0.0,1,7.0
WA_XGPS20162017CRO10431_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10431_GPSdata_RS.xlsx,68,68,True,8.788525462932739e-13,0,0,True,67.79047268820955,67.79047268820955,0.0,1,8.0
WA_XGPS20162017CRO10621_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10621_GPSdata_RS.xlsx,336,336,True,1.4654943925052066e-12,4,3,True,17.593177115038998,17.593177115038998,0.0,1,11.0
WA_XGPS20162017CRO10631_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO10631_GPSdata_RS.xlsx,171,171,True,1.4210854715202004e-12,2,2,True,144.6569291702558,144.656929170254,1.8189894035458565e-12,1,13.0
WA_XGPS20162017CRO20121_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO20121_GPSdata_RS.xlsx,70,70,True,6.505906924303417e-13,0,0,True,13.1349495511472,13.134949551147201,1.7763568394002505e-15,1,28.5
WA_XGPS20162017CRO20221_GPSdata_RS.xlsx|0,WA_XGPS20162017CRO20221_GPSdata_RS.xlsx,64,64,True,1.3358203432289883e-12,0,0,True,30.595961257291265,30.595961257291265,0.0,2,25.0
