property,segments,total_segments,percent_segments,figure,panel,record_type,replicate,rho_chl_support,rho_chl_median_log_length
,,,,Supplementary Figure 5,b-d,eligible-record replacement,162,-0.1536952146690519,-0.0916592128801431
,,,,Supplementary Figure 5,b-d,eligible-record replacement,163,-0.1597271914132379,-0.115608228980322
,,,,Supplementary Figure 5,b-d,eligible-record replacement,164,-0.1439400715563506,-0.1052716905187835
,,,,Supplementary Figure 5,b-d,eligible-record replacement,165,-0.1343470483005367,-0.1227079606440071
,,,,Supplementary Figure 5,b-d,eligible-record replacement,166,-0.1444823345259392,-0.1217352415026833
,,,,Supplementary Figure 5,b-d,eligible-record replacement,167,-0.1537734794275492,-0.1223949016100179
,,,,Supplementary Figure 5,b-d,eligible-record replacement,168,-0.1456004025044723,-0.1009671288014311
,,,,Supplementary Figure 5,b-d,eligible-record replacement,169,-0.154612030411449,-0.0772529069767442
,,,,Supplementary Figure 5,b-d,eligible-record replacement,170,-0.1687723613595707,-0.1101744186046511
,,,,Supplementary Figure 5,b-d,eligible-record replacement,171,-0.1457737030411449,-0.0948121645796064
,,,,Supplementary Figure 5,b-d,eligible-record replacement,172,-0.1433810375670841,-0.1070941413237925
,,,,Supplementary Figure 5,b-d,eligible-record replacement,173,-0.1455892218246869,-0.1190406976744186
,,,,Supplementary Figure 5,b-d,eligible-record replacement,174,-0.1514311270125224,-0.0941916368515205
,,,,Supplementary Figure 5,b-d,eligible-record replacement,175,-0.1544499105545617,-0.115423747763864
,,,,Supplementary Figure 5,b-d,eligible-record replacement,176,-0.1477638640429338,-0.1165697674418605
,,,,Supplementary Figure 5,b-d,eligible-record replacement,177,-0.1369689177101968,-0.1133832737030411
,,,,Supplementary Figure 5,b-d,eligible-record replacement,178,-0.137617397137746,-0.0869297853309481
,,,,Supplementary Figure 5,b-d,eligible-record replacement,179,-0.1450693202146691,-0.120220259391771
,,,,Supplementary Figure 5,b-d,eligible-record replacement,180,-0.1413405635062612,-0.118531976744186
,,,,Supplementary Figure 5,b-d,eligible-record replacement,181,-0.1621645796064401,-0.1271075581395349
,,,,Supplementary Figure 5,b-d,eligible-record replacement,182,-0.143766771019678,-0.1112477638640429
,,,,Supplementary Figure 5,b-d,eligible-record replacement,183,-0.1417542486583184,-0.1448177549194991
,,,,Supplementary Figure 5,b-d,eligible-record replacement,184,-0.1494353756708408,-0.1038908765652951
,,,,Supplementary Figure 5,b-d,eligible-record replacement,185,-0.1340116279069767,-0.1113092576028622
,,,,Supplementary Figure 5,b-d,eligible-record replacement,186,-0.1443649373881932,-0.1228309481216458
,,,,Supplementary Figure 5,b-d,eligible-record replacement,187,-0.1473222271914132,-0.0950245974955277
,,,,Supplementary Figure 5,b-d,eligible-record replacement,188,-0.1274038461538461,-0.0895069320214669
,,,,Supplementary Figure 5,b-d,eligible-record replacement,189,-0.115440518783542,-0.1242844364937388
,,,,Supplementary Figure 5,b-d,eligible-record replacement,190,-0.1415641771019678,-0.1096209749552773
,,,,Supplementary Figure 5,b-d,eligible-record replacement,191,-0.1401554114490161,-0.127990831842576
,,,,Supplementary Figure 5,b-d,eligible-record replacement,192,-0.1425201252236136,-0.1029013864042933
,,,,Supplementary Figure 5,b-d,eligible-record replacement,193,-0.1570326475849731,-0.0864490161001789
,,,,Supplementary Figure 5,b-d,eligible-record replacement,194,-0.1405467352415027,-0.1146466905187835
,,,,Supplementary Figure 5,b-d,eligible-record replacement,195,-0.1316860465116279,-0.1460588103756708
,,,,Supplementary Figure 5,b-d,eligible-record replacement,196,-0.1406697227191413,-0.1050145348837209
,,,,Supplementary Figure 5,b-d,eligible-record replacement,197,-0.151705053667263,-0.093682915921288
,,,,Supplementary Figure 5,b-d,eligible-record replacement,198,-0.1343526386404293,-0.1181741949910554
,,,,Supplementary Figure 5,b-d,eligible-record replacement,199,-0.1498881932021467,-0.1003354203935599
,,,,Supplementary Figure 5,b-d,eligible-record replacement,200,-0.132854427549195,-0.118632602862254
,,,,Supplementary Figure 5,b-d,eligible-record replacement,201,-0.148227862254025,-0.1079103309481216
,,,,Supplementary Figure 5,b-d,eligible-record replacement,202,-0.1502739266547406,-0.0913126118067978
,,,,Supplementary Figure 5,b-d,eligible-record replacement,203,-0.1476688282647585,-0.0938618067978533
,,,,Supplementary Figure 5,b-d,eligible-record replacement,204,-0.1305512075134168,-0.1104148032200358
,,,,Supplementary Figure 5,b-d,eligible-record replacement,205,-0.1428108228980322,-0.1276274597495528
,,,,Supplementary Figure 5,b-d,eligible-record replacement,206,-0.1507323345259392,-0.0906864937388193
,,,,Supplementary Figure 5,b-d,eligible-record replacement,207,-0.1350737924865832,-0.1043492844364937
,,,,Supplementary Figure 5,b-d,eligible-record replacement,208,-0.1402224955277281,-0.1292933810375671
,,,,Supplementary Figure 5,b-d,eligible-record replacement,209,-0.1355769230769231,-0.1357725849731664
,,,,Supplementary Figure 5,b-d,eligible-record replacement,210,-0.1353029964221825,-0.1260174418604651
,,,,Supplementary Figure 5,b-d,eligible-record replacement,211,-0.152856663685152,-0.1265988372093023
,,,,Supplementary Figure 5,b-d,eligible-record replacement,212,-0.1441245527728086,-0.0895013416815742
,,,,Supplementary Figure 5,b-d,eligible-record replacement,213,-0.1322730322003578,-0.1388640429338103
,,,,Supplementary Figure 5,b-d,eligible-record replacement,214,-0.1509671288014311,-0.102906976744186
,,,,Supplementary Figure 5,b-d,eligible-record replacement,215,-0.1410498658318426,-0.113785778175313
,,,,Supplementary Figure 5,b-d,eligible-record replacement,216,-0.1411896243291592,-0.1180679785330948
,,,,Supplementary Figure 5,b-d,eligible-record replacement,217,-0.1503745527728086,-0.1041368515205724
,,,,Supplementary Figure 5,b-d,eligible-record replacement,218,-0.1528398926654741,-0.1032312164579606
,,,,Supplementary Figure 5,b-d,eligible-record replacement,219,-0.129427549194991,-0.1188506261180679
,,,,Supplementary Figure 5,b-d,eligible-record replacement,220,-0.1522081842576028,-0.0902839892665474
,,,,Supplementary Figure 5,b-d,eligible-record replacement,221,-0.1403454830053667,-0.1177940518783542
,,,,Supplementary Figure 5,b-d,eligible-record replacement,222,-0.1539188282647585,-0.1036113595706619
,,,,Supplementary Figure 5,b-d,eligible-record replacement,223,-0.135979427549195,-0.126369633273703
,,,,Supplementary Figure 5,b-d,eligible-record replacement,224,-0.1316357334525939,-0.1469812164579606
,,,,Supplementary Figure 5,b-d,eligible-record replacement,225,-0.143867397137746,-0.1255087209302325
,,,,Supplementary Figure 5,b-d,eligible-record replacement,226,-0.1274485688729875,-0.1337041592128801
,,,,Supplementary Figure 5,b-d,eligible-record replacement,227,-0.1374720483005367,-0.1143392218246869
,,,,Supplementary Figure 5,b-d,eligible-record replacement,228,-0.149865831842576,-0.1293828264758497
,,,,Supplementary Figure 5,b-d,eligible-record replacement,229,-0.1350346601073345,-0.1046735241502683
,,,,Supplementary Figure 5,b-d,eligible-record replacement,230,-0.1551934257602862,-0.1111527280858676
,,,,Supplementary Figure 5,b-d,eligible-record replacement,231,-0.1512745974955277,-0.1154181574239714
,,,,Supplementary Figure 5,b-d,eligible-record replacement,232,-0.1526777728085868,-0.1127739266547406
,,,,Supplementary Figure 5,b-d,eligible-record replacement,233,-0.1301654740608229,-0.1246142665474061
,,,,Supplementary Figure 5,b-d,eligible-record replacement,234,-0.1460364490161002,-0.0872428443649374
,,,,Supplementary Figure 5,b-d,eligible-record replacement,235,-0.1375111806797853,-0.118599060822898
,,,,Supplementary Figure 5,b-d,eligible-record replacement,236,-0.1528957960644007,-0.0971545169946332
,,,,Supplementary Figure 5,b-d,eligible-record replacement,237,-0.1342352415026834,-0.0980489713774597
,,,,Supplementary Figure 5,b-d,eligible-record replacement,238,-0.1367956171735241,-0.1344979874776386
,,,,Supplementary Figure 5,b-d,eligible-record replacement,239,-0.1409771914132379,-0.1070158765652951
,,,,Supplementary Figure 5,b-d,eligible-record replacement,240,-0.1555791592128801,-0.1113204382826476
,,,,Supplementary Figure 5,b-d,eligible-record replacement,241,-0.1345427101967799,-0.115675313059034
,,,,Supplementary Figure 5,b-d,eligible-record replacement,242,-0.1315295169946332,-0.1157871198568873
,,,,Supplementary Figure 5,b-d,eligible-record replacement,243,-0.1470483005366726,-0.1156641323792486
,,,,Supplementary Figure 5,b-d,eligible-record replacement,244,-0.139020572450805,-0.1008273703041145
,,,,Supplementary Figure 5,b-d,eligible-record replacement,245,-0.131317084078712,-0.0936046511627907
,,,,Supplementary Figure 5,b-d,eligible-record replacement,246,-0.1304058586762075,-0.1191804561717352
,,,,Supplementary Figure 5,b-d,eligible-record replacement,247,-0.1540362254025045,-0.1015093917710197
,,,,Supplementary Figure 5,b-d,eligible-record replacement,248,-0.1471433363148479,-0.0854371645796064
,,,,Supplementary Figure 5,b-d,eligible-record replacement,249,-0.1480601520572451,-0.1192699016100179
,,,,Supplementary Figure 5,b-d,eligible-record replacement,250,-0.1336091234347048,-0.11554114490161
,,,,Supplementary Figure 5,b-d,eligible-record replacement,251,-0.1367341234347048,-0.1153454830053667
,,,,Supplementary Figure 5,b-d,eligible-record replacement,252,-0.1444208407871199,-0.1157200357781753
,,,,Supplementary Figure 5,b-d,eligible-record replacement,253,-0.1484347048300537,-0.0980936940966011
,,,,Supplementary Figure 5,b-d,eligible-record replacement,254,-0.1386851520572451,-0.1362254025044723
,,,,Supplementary Figure 5,b-d,eligible-record replacement,255,-0.1464389534883721,-0.1268727638640429
,,,,Supplementary Figure 5,b-d,eligible-record replacement,256,-0.149882602862254,-0.0949798747763864
,,,,Supplementary Figure 5,b-d,eligible-record replacement,257,-0.1448401162790697,-0.1002906976744186
,,,,Supplementary Figure 5,b-d,eligible-record replacement,258,-0.1382435152057245,-0.1021411001788908
,,,,Supplementary Figure 5,b-d,eligible-record replacement,259,-0.1451308139534884,-0.1032256261180679
,,,,Supplementary Figure 5,b-d,eligible-record replacement,260,-0.1455109570661896,-0.1178779069767442
,,,,Supplementary Figure 5,b-d,eligible-record replacement,261,-0.1338606887298748,-0.1272864490161002
,,,,Supplementary Figure 5,b-d,eligible-record replacement,262,-0.1374273255813953,-0.1116167262969588
,,,,Supplementary Figure 5,b-d,eligible-record replacement,263,-0.1382546958855098,-0.0952593917710196
,,,,Supplementary Figure 5,b-d,eligible-record replacement,264,-0.148596824686941,-0.1150771466905188
,,,,Supplementary Figure 5,b-d,eligible-record replacement,265,-0.1397529069767442,-0.1190854203935599
,,,,Supplementary Figure 5,b-d,eligible-record replacement,266,-0.142011404293381,-0.1006261180679785
,,,,Supplementary Figure 5,b-d,eligible-record replacement,267,-0.1442251788908765,-0.1373434704830053
,,,,Supplementary Figure 5,b-d,eligible-record replacement,268,-0.1335196779964222,-0.123060152057245
,,,,Supplementary Figure 5,b-d,eligible-record replacement,269,-0.1381764311270125,-0.1271914132379248
,,,,Supplementary Figure 5,b-d,eligible-record replacement,270,-0.1384056350626118,-0.1134112254025044
,,,,Supplementary Figure 5,b-d,eligible-record replacement,271,-0.1410107334525939,-0.1085196779964221
,,,,Supplementary Figure 5,b-d,eligible-record replacement,272,-0.1477918157423971,-0.1049642218246869
