event_id,scale_m,run_key,individual,status,support_points,native_cell_runs,record_cell_runs,maximum_nearest_grid_distance_deg
1000|8:H001:P000|3|30|53,1000,8:H001:P000,8,ok,24,16,11,0.02593829758912851
1000|8:H001:P000|4|53|59,1000,8:H001:P000,8,ok,7,5,4,0.023415728106398574
1000|8:H001:P000|5|59|77,1000,8:H001:P000,8,ok,19,9,6,0.022295234072923324
1000|8:H001:P000|6|77|131,1000,8:H001:P000,8,ok,55,24,21,0.021976435735689356
1000|8:H001:P000|7|131|139,1000,8:H001:P000,8,ok,9,4,4,0.023669415771424653
1000|8:H001:P000|9|143|148,1000,8:H001:P000,8,ok,6,3,2,0.02109051109431648
2000|8:H001:P000|1|0|27,2000,8:H001:P000,8,ok,28,15,15,0.022052357461046487
2000|8:H001:P000|2|27|52,2000,8:H001:P000,8,ok,26,16,10,0.02593829758912851
2000|8:H001:P000|3|52|77,2000,8:H001:P000,8,ok,26,14,10,0.023415728106398574
2000|8:H001:P000|4|77|131,2000,8:H001:P000,8,ok,55,24,21,0.021976435735689356
2000|8:H001:P000|5|131|139,2000,8:H001:P000,8,ok,9,4,4,0.023669415771424653
2000|8:H001:P000|6|139|154,2000,8:H001:P000,8,ok,16,5,3,0.021883350798848438
5000|8:H001:P000|1|0|52,5000,8:H001:P000,8,ok,53,30,22,0.02593829758912851
5000|8:H001:P000|2|52|77,5000,8:H001:P000,8,ok,26,14,10,0.023415728106398574
5000|8:H001:P000|3|77|131,5000,8:H001:P000,8,ok,55,24,21,0.021976435735689356
500|9-(A):H022:P000|1|0|29,500,9-(A):H022:P000,9,ok,30,22,21,0.02574817633944952
500|9-(A):H022:P000|2|29|39,500,9-(A):H022:P000,9,ok,11,4,4,0.02269316371415881
500|9-(A):H022:P000|3|39|49,500,9-(A):H022:P000,9,ok,11,5,5,0.022155315153489646
500|9-(A):H022:P000|5|56|98,500,9-(A):H022:P000,9,ok,43,16,16,0.024012012092947267
500|9-(A):H022:P000|6|98|116,500,9-(A):H022:P000,9,ok,19,4,3,0.024174885351793556
500|9-(A):H022:P000|8|119|135,500,9-(A):H022:P000,9,ok,17,13,12,0.024131435615599772
500|9-(A):H022:P000|9|135|155,500,9-(A):H022:P000,9,ok,21,13,11,0.022424662673632523
500|9-(A):H022:P000|11|158|173,500,9-(A):H022:P000,9,ok,16,4,3,0.02064800716191523
500|9-(A):H022:P000|14|186|195,500,9-(A):H022:P000,9,ok,10,7,6,0.020707123081943998
500|9-(A):H022:P000|15|195|206,500,9-(A):H022:P000,9,ok,12,7,6,0.0200697875896098
500|9-(A):H022:P000|16|206|217,500,9-(A):H022:P000,9,ok,12,6,6,0.023449807181535734
500|9-(A):H022:P000|17|217|232,500,9-(A):H022:P000,9,ok,16,4,4,0.023636798264762986
500|9-(A):H022:P000|18|232|245,500,9-(A):H022:P000,9,ok,14,6,6,0.021750219579536854
500|9-(A):H022:P000|19|245|272,500,9-(A):H022:P000,9,ok,28,11,10,0.02170039483168292
500|9-(A):H022:P000|20|272|301,500,9-(A):H022:P000,9,ok,30,10,10,0.02308589008347088
500|9-(A):H022:P000|21|301|426,500,9-(A):H022:P000,9,ok,126,6,6,0.022198476287256626
500|9-(A):H022:P000|22|426|432,500,9-(A):H022:P000,9,ok,7,3,3,0.023939243045945455
1000|9-(A):H022:P000|1|0|29,1000,9-(A):H022:P000,9,ok,30,22,21,0.02574817633944952
1000|9-(A):H022:P000|2|29|39,1000,9-(A):H022:P000,9,ok,11,4,4,0.02269316371415881
1000|9-(A):H022:P000|3|39|49,1000,9-(A):H022:P000,9,ok,11,5,5,0.022155315153489646
1000|9-(A):H022:P000|5|56|98,1000,9-(A):H022:P000,9,ok,43,16,16,0.024012012092947267
1000|9-(A):H022:P000|6|98|116,1000,9-(A):H022:P000,9,ok,19,4,3,0.024174885351793556
1000|9-(A):H022:P000|7|116|135,1000,9-(A):H022:P000,9,ok,20,14,14,0.024131435615599772
1000|9-(A):H022:P000|8|135|155,1000,9-(A):H022:P000,9,ok,21,13,11,0.022424662673632523
1000|9-(A):H022:P000|9|155|173,1000,9-(A):H022:P000,9,ok,19,5,4,0.02064800716191523
1000|9-(A):H022:P000|11|186|195,1000,9-(A):H022:P000,9,ok,10,7,6,0.020707123081943998
1000|9-(A):H022:P000|12|195|206,1000,9-(A):H022:P000,9,ok,12,7,6,0.0200697875896098
1000|9-(A):H022:P000|13|206|217,1000,9-(A):H022:P000,9,ok,12,6,6,0.023449807181535734
1000|9-(A):H022:P000|14|217|232,1000,9-(A):H022:P000,9,ok,16,4,4,0.023636798264762986
1000|9-(A):H022:P000|15|232|245,1000,9-(A):H022:P000,9,ok,14,6,6,0.021750219579536854
1000|9-(A):H022:P000|16|245|272,1000,9-(A):H022:P000,9,ok,28,11,10,0.02170039483168292
1000|9-(A):H022:P000|17|272|301,1000,9-(A):H022:P000,9,ok,30,10,10,0.02308589008347088
1000|9-(A):H022:P000|18|301|426,1000,9-(A):H022:P000,9,ok,126,6,6,0.022198476287256626
1000|9-(A):H022:P000|19|426|432,1000,9-(A):H022:P000,9,ok,7,3,3,0.023939243045945455
2000|9-(A):H022:P000|1|0|29,2000,9-(A):H022:P000,9,ok,30,22,21,0.02574817633944952
2000|9-(A):H022:P000|2|29|49,2000,9-(A):H022:P000,9,ok,21,8,8,0.02269316371415881
2000|9-(A):H022:P000|3|49|98,2000,9-(A):H022:P000,9,ok,50,17,16,0.024012012092947267
2000|9-(A):H022:P000|4|98|116,2000,9-(A):H022:P000,9,ok,19,4,3,0.024174885351793556
2000|9-(A):H022:P000|5|116|135,2000,9-(A):H022:P000,9,ok,20,14,14,0.024131435615599772
2000|9-(A):H022:P000|6|135|155,2000,9-(A):H022:P000,9,ok,21,13,11,0.022424662673632523
2000|9-(A):H022:P000|7|155|186,2000,9-(A):H022:P000,9,ok,32,6,5,0.02064800716191523
2000|9-(A):H022:P000|8|186|195,2000,9-(A):H022:P000,9,ok,10,7,6,0.020707123081943998
2000|9-(A):H022:P000|9|195|206,2000,9-(A):H022:P000,9,ok,12,7,6,0.0200697875896098
2000|9-(A):H022:P000|10|206|217,2000,9-(A):H022:P000,9,ok,12,6,6,0.023449807181535734
2000|9-(A):H022:P000|11|217|232,2000,9-(A):H022:P000,9,ok,16,4,4,0.023636798264762986
2000|9-(A):H022:P000|12|232|245,2000,9-(A):H022:P000,9,ok,14,6,6,0.021750219579536854
2000|9-(A):H022:P000|13|245|272,2000,9-(A):H022:P000,9,ok,28,11,10,0.02170039483168292
2000|9-(A):H022:P000|14|272|301,2000,9-(A):H022:P000,9,ok,30,10,10,0.02308589008347088
2000|9-(A):H022:P000|15|301|426,2000,9-(A):H022:P000,9,ok,126,6,6,0.022198476287256626
5000|9-(A):H022:P000|1|0|29,5000,9-(A):H022:P000,9,ok,30,22,21,0.02574817633944952
5000|9-(A):H022:P000|2|29|98,5000,9-(A):H022:P000,9,ok,70,24,18,0.024012012092947267
5000|9-(A):H022:P000|3|98|195,5000,9-(A):H022:P000,9,ok,98,40,28,0.024174885351793556
5000|9-(A):H022:P000|4|195|206,5000,9-(A):H022:P000,9,ok,12,7,6,0.0200697875896098
5000|9-(A):H022:P000|5|206|217,5000,9-(A):H022:P000,9,ok,12,6,6,0.023449807181535734
5000|9-(A):H022:P000|6|217|232,5000,9-(A):H022:P000,9,ok,16,4,4,0.023636798264762986
5000|9-(A):H022:P000|7|232|245,5000,9-(A):H022:P000,9,ok,14,6,6,0.021750219579536854
5000|9-(A):H022:P000|8|245|272,5000,9-(A):H022:P000,9,ok,28,11,10,0.02170039483168292
5000|9-(A):H022:P000|9|272|301,5000,9-(A):H022:P000,9,ok,30,10,10,0.02308589008347088
5000|9-(A):H022:P000|10|301|426,5000,9-(A):H022:P000,9,ok,126,6,6,0.022198476287256626
500|9-(B):H001:P000|1|0|75,500,9-(B):H001:P000,9,ok,76,25,24,0.023504727193300712
500|9-(B):H001:P000|2|75|118,500,9-(B):H001:P000,9,ok,44,4,3,0.021242258916012315
500|9-(B):H001:P000|3|118|152,500,9-(B):H001:P000,9,ok,35,5,4,0.020827390676879585
1000|9-(B):H001:P000|1|0|75,1000,9-(B):H001:P000,9,ok,76,25,24,0.023504727193300712
2000|9-(B):H001:P000|1|0|75,2000,9-(B):H001:P000,9,ok,76,25,24,0.023504727193300712
5000|9-(B):H001:P000|1|0|75,5000,9-(B):H001:P000,9,ok,76,25,24,0.023504727193300712
500|9-(C):H003:P000|1|0|44,500,9-(C):H003:P000,9,ok,45,23,23,0.023958947536486527
1000|9-(C):H003:P000|1|0|44,1000,9-(C):H003:P000,9,ok,45,23,23,0.023958947536486527
2000|9-(C):H003:P000|1|0|147,2000,9-(C):H003:P000,9,ok,148,27,26,0.023958947536486527
5000|9-(C):H003:P000|1|0|147,5000,9-(C):H003:P000,9,ok,148,27,26,0.023958947536486527
