segment_key,track_id,events,old_n_steps,event_count_match,rho_coordinate_max_abs_error_km,tau_nonincreasing_adjacent_pairs,tau_duplicate_fixes,tau_confirmation_reach_positive,rho_support_old,rho_support_rebuilt,rho_support_abs_error,eligible_records_min,eligible_records_median,panel,replicate,rho_chl_support,rho_chl_median_log_length
WA_Centurion20182019CRO21811_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21811_GPSdata_RS.xlsx,126.0,126.0,True,1.716848885280342e-12,1.0,0.0,True,17.047806369646196,17.04780636964631,1.1368683772161605e-13,1.0,9.5,a-c,,,
WA_Centurion20182019CRO21821_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21821_GPSdata_RS.xlsx,423.0,423.0,True,2.045141833662001e-12,4.0,2.0,True,424.5252051845514,424.5252051845368,1.4551915228366852e-11,1.0,9.0,a-c,,,
WA_Centurion20182019CRO21831_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO21831_GPSdata_RS.xlsx,169.0,169.0,True,1.5025758415276869e-12,3.0,2.0,True,103.64570853575992,103.64570853575992,0.0,1.0,14.0,a-c,,,
WA_Centurion20182019CRO22011_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22011_GPSdata_RS.xlsx,239.0,239.0,True,1.4093171074591737e-12,2.0,2.0,True,456.2113983752852,456.2113983752824,2.7853275241795927e-12,1.0,15.0,a-c,,,
WA_Centurion20182019CRO22111_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22111_GPSdata_RS.xlsx,156.0,156.0,True,1.4210854715202004e-12,0.0,0.0,True,165.5014028278733,165.50140282785696,1.6342482922482304e-11,1.0,14.5,a-c,,,
WA_Centurion20182019CRO22121_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22121_GPSdata_RS.xlsx,266.0,266.0,True,1.5762946503627973e-12,2.0,1.0,True,357.4217457192774,357.4217457192772,2.273736754432321e-13,1.0,10.0,a-c,,,
WA_Centurion20182019CRO22311_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22311_GPSdata_RS.xlsx,185.0,185.0,True,1.91446858366362e-12,0.0,0.0,True,319.02641596069,319.02641596069,0.0,1.0,10.0,a-c,,,
WA_Centurion20182019CRO22321_GPSdata_RS.xlsx|0,WA_Centurion20182019CRO22321_GPSdata_RS.xlsx,300.0,300.0,True,1.283417816466681e-12,3.0,2.0,True,366.9661236179932,366.9661236180455,5.2239101933082566e-11,1.0,7.5,a-c,,,
WA_XGPS20152016CRO10011_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10011_GPSdata_RS.xlsx,49.0,49.0,True,9.89319737243477e-13,0.0,0.0,True,76.9226999843844,76.9226999843844,0.0,1.0,4.0,a-c,,,
WA_XGPS20152016CRO10311_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10311_GPSdata_RS.xlsx,189.0,189.0,True,1.1510792319313625e-12,1.0,1.0,True,338.7455362395583,338.7455362395583,0.0,1.0,5.0,a-c,,,
WA_XGPS20152016CRO10321_GPSdata_RS.xlsx|1,WA_XGPS20152016CRO10321_GPSdata_RS.xlsx,127.0,127.0,True,1.304734098539484e-12,0.0,0.0,True,21.879974549402505,21.879974549402505,0.0,1.0,10.0,a-c,,,
