dataset,scale_m,event_id,n_runs,n_record_runs,decomposition_residual,panel,temporal_identity_residual,frozen_events,geometry_pass,a_chl_eligible,a_decomposition_eligible,b_chl_eligible,rho_tau_distinct_cell,rho_tau_distinct_cell_fraction
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|53,13.0,13.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|55,8.0,8.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|56,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|57,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|59,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|60,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|62,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|65,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|66,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|67,9.0,8.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|68,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|69,7.0,6.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|72,10.0,9.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|73,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|75,5.0,5.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|76,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|77,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|78,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|79,6.0,6.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|80,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|81,7.0,6.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|83,5.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|84,3.0,2.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|93,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|94,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|96,12.0,11.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|128,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|131,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|134,11.0,11.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|136,6.0,6.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|137,7.0,7.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|146,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|147,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|152,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|159,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|161,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|162,4.0,4.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|165,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|170,6.0,6.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003J_GPSdata_RS.xlsx|1|canonical_global_window|1|100.0|172,7.0,6.0,-1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|0,41.0,40.0,2.220446049250313e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|1,24.0,24.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|2,3.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|3,4.0,3.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|5,21.0,20.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|6,39.0,39.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|7,17.0,17.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|8,17.0,17.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|9,14.0,14.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|10,10.0,8.0,0.0,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|12,3.0,2.0,1.1102230246251565e-16,a-c,,,,,,,,
goto,100,WA_10SCRO2003K_GPSdata_RS.xlsx|0|canonical_global_window|1|100.0|14,7.0,7.0,0.0,a-c,,,,,,,,
